"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
1.93999999999999,-0.368124552684737,-0.916011413015845,0.327397418200862,-0.247768533590139,-0.836382528405122
1.94999999999999,-0.309016994375009,-0.95617152013552,0.268944901543472,-0.261751843562827,-0.948978462154875
1.95999999999999,-0.248689887164916,-0.992566952358298,0.209439252047495,-0.274701352773238,-1.05782905308404
1.96999999999999,-0.187381314585787,-1.02505415094728,0.149115467897721,-0.286566037679984,-1.16250472072954
1.97999999999999,-0.125333233564368,-1.05350498071928,0.0882117745364616,-0.297299155045209,-1.26259236122803
1.98999999999999,-0.0627905195293773,-1.07780723525518,0.026968684719119,-0.306858426826022,-1.35769697736208
1.99999999999999,-6.26623480986677e-14,-1.0978650801901,-0.0343719507243783,-0.315206206712207,-1.44744323762669
2.00999999999999,0.0627905195292505,-1.11359943097234,-0.0955678973605654,-0.322309628892828,-1.53147695722573
2.01999999999999,0.125333233564241,-1.12494826526459,-0.156377493205233,-0.328140737404815,-1.60946649587464
2.02999999999999,0.187381314585662,-1.13186686776088,-0.216560602392541,-0.332676597102587,-1.68110406725601
2.03999999999999,0.248689887164794,-1.13432800643021,-0.275879562746578,-0.335899383519692,-1.74610695269648
2.04999999999999,0.309016994374888,-1.13232204017353,-0.334100124070825,-0.337796453821444,-1.8042186180658
2.05999999999999,0.368124552684619,-1.1258569568203,-0.390992372193877,-0.338360396106293,-1.85520972512047
2.06999999999999,0.425779291565015,-1.11495834179692,-0.446331636714376,-0.337589059188539,-1.89887903769983
2.07999999999999,0.481753674101658,-1.09966927656746,-0.499899377261124,-0.335485560818883,-1.93505421464747
2.08999999999999,0.535826794978944,-1.08005016956898,-0.551484046635272,-0.332058275271543,-1.96359249147579
2.09999999999999,0.587785252292422,-1.05617851661136,-0.600881924514188,-0.327320800748454,-1.984381241874
2.10999999999999,0.63742398974864,-1.0281485963427,-0.64789792304147,-0.321291905275495,-1.99733842465966
2.11999999999999,0.684547105928641,-0.996071096749567,-0.692346355333976,-0.313995452850075,-2.00241290493362
2.12999999999999,0.728968627421369,-0.960072680033632,-0.734051668704939,-0.305460309091001,-1.99958465782957
2.13999999999999,0.77051324277575,-0.920295481364013,-0.772849138171459,-0.295720227710542,-1.98886484724601
2.14999999999999,0.809016994374909,-0.876896548082982,-0.808585515446581,-0.284813716714425,-1.97029578024399
2.15999999999999,0.84432792550198,-0.83004722056194,-0.841119634621474,-0.272783887258302,-1.94395074244172
2.16999999999999,0.876306680043832,-0.779932455754261,-0.870322968880565,-0.259678282644548,-1.90993370727937
2.17999999999999,0.904827052465992,-0.72675009700073,-0.896080137442705,-0.245548691153615,-1.86837892559705
2.18999999999999,0.929776485888228,-0.670710093153825,-0.918289361541578,-0.230450941529679,-1.81945039622508
2.19999999999999,0.951056516295134,-0.612033670648576,-0.936862865874029,-0.214444683065679,-1.76334121958828
2.20999999999999,0.968583161128615,-0.550952459770849,-0.951727224662208,-0.197593149624911,-1.70027283405797
2.21999999999999,0.982287250728677,-0.487707581076668,-0.96282365173143,-0.179962910040694,-1.63049414284879
2.22999999999999,0.99211470131447,-0.422548693022123,-0.970108232714919,-0.161623606210353,-1.55428053194739
